name	strict	exception	1y_tr	1y_pnl	1y_pdd	2y_pnl	2y_pdd	10y_pnl	10y_pdd	d1_pnl	d2_pnl	d10_pnl	d1_pdd	d2_pdd	d10_pdd
r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c2_bfirst_bal	0	1	702	22625.67	1.8003	36478.48	2.1458	-70175.29	-0.8323	8242.27	21103.68	-14433.14	0.6945	1.1853	0.0303
r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c2_bfirst_bal	0	1	702	22625.67	1.8003	36478.48	2.1458	-70175.29	-0.8323	8242.27	21103.68	-14433.14	0.6945	1.1853	0.0303
r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c2_bfirst_bal	0	1	702	22622.52	1.7996	36469.83	2.1453	-70175.29	-0.8323	8239.12	21095.03	-14433.14	0.6938	1.1848	0.0303
r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_med_c2_bfirst_bal	0	1	702	22605.21	1.7979	36439.55	2.1423	-69759.90	-0.8271	8221.82	21064.74	-14017.75	0.6920	1.1818	0.0355
r7t1_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_ctl	0	1	709	14517.07	1.1145	15499.52	0.9973	-56028.57	-0.8656	133.68	124.72	-286.42	0.0087	0.0368	-0.0030
r7t2_r5c2_s01_base_h7_sm0_0388_med_c1_bfirst_def	0	0	701	24512.49	1.0817	37977.62	1.5120	-66699.81	-0.8310	10129.10	22602.82	-10957.65	-0.0241	0.5515	0.0317
r7t2_r5c2_s01_base_h7_sm0_0388_hard_c1_bfirst_def	0	0	701	24512.49	1.0817	37977.62	1.5120	-66699.81	-0.8310	10129.10	22602.82	-10957.65	-0.0241	0.5515	0.0317
r7t2_r5c2_s01_base_h7_sm0_0388_soft_c1_bfirst_def	0	0	701	24510.12	1.0815	37974.33	1.5117	-66699.81	-0.8310	10126.73	22599.52	-10957.65	-0.0243	0.5511	0.0317
r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_med_c1_bfirst_def	0	0	715	23301.09	1.0530	37821.35	1.5292	-66058.28	-0.8166	8917.70	22446.55	-10316.13	-0.0528	0.5687	0.0460
r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_hard_c1_bfirst_def	0	0	715	23301.09	1.0530	37821.35	1.5292	-66058.28	-0.8166	8917.70	22446.55	-10316.13	-0.0528	0.5687	0.0460
r7t2_r5a_km03_h1_sm0_0386_sl0_0192_sh1_35_soft_c1_bfirst_def	0	0	715	23297.85	1.0527	37816.66	1.5288	-66058.28	-0.8166	8914.45	22441.85	-10316.13	-0.0531	0.5682	0.0460
r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_med_c1_bfirst_def	0	0	715	23289.92	1.0527	37804.13	1.5288	-66122.17	-0.8173	8906.53	22429.33	-10380.02	-0.0531	0.5682	0.0453
r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_hard_c1_bfirst_def	0	0	715	23289.92	1.0527	37804.13	1.5288	-66122.17	-0.8173	8906.53	22429.33	-10380.02	-0.0531	0.5682	0.0453
r7t2_r5a_km03_h1_sm0_0388_sl0_0192_sh1_40_soft_c1_bfirst_def	0	0	715	23284.92	1.0522	37799.39	1.5283	-66122.17	-0.8173	8901.53	22424.59	-10380.02	-0.0536	0.5677	0.0453
r7t2_r5c2_s01_base_h7_sm0_0388_med_c5_bfirst_damp	0	0	703	23176.02	1.0939	36988.38	1.5697	-63482.35	-0.8163	8792.63	21613.58	-7740.20	-0.0119	0.6092	0.0463
r7t1_r4c_074_km03_tight_h3_sm0p0388_sl0p0_ctl	0	0	711	14383.39	1.1058	15374.80	0.9605	-55742.15	-0.8626	0.00	0.00	0.00	0.0000	0.0000	0.0000
r7t1_opt1_016_neutral_atr_compress_r3_hyb_ctl	0	0	703	9216.12	0.8550	10156.85	0.7548	-49167.66	-0.8627	-5167.27	-5217.96	6574.49	-0.2509	-0.2057	-0.0001
