rank	name	1y_pnl	1y_pdd	1y_tr
1	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_022_a0p90_b0p95_sm0p036_sl0p0185_sh0p55	23283.00	1.0469	727
2	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_021_a0p90_b0p95_sm0p036_sl0p0185_sh0p45	23283.00	1.0469	727
3	r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_094_a0p90_b0p95_sm0p036_sl0p0185_sh0p55	22446.95	1.0721	709
4	r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_093_a0p90_b0p95_sm0p036_sl0p0185_sh0p45	22446.95	1.0721	709
5	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_019_a0p90_b0p95_sm0p034_sl0p0180_sh0p45	22161.71	0.9659	737
6	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_020_a0p90_b0p95_sm0p034_sl0p0180_sh0p55	22161.71	0.9659	737
7	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_016_a0p90_b0p95_sm0p030_sl0p0170_sh0p55	21867.27	1.0567	778
8	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_015_a0p90_b0p95_sm0p030_sl0p0170_sh0p45	21867.27	1.0567	778
9	r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_070_a0p90_b0p95_sm0p036_sl0p0185_sh0p55	21168.50	1.0648	710
10	r8r_r7t2_r5c2_s01_base_h7_sm0_0388_med_c_069_a0p90_b0p95_sm0p036_sl0p0185_sh0p45	21168.50	1.0648	710
11	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_010_a0p75_b0p80_sm0p036_sl0p0185_sh0p55	19713.66	1.0458	726
12	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_009_a0p75_b0p80_sm0p036_sl0p0185_sh0p45	19713.66	1.0458	726
13	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_004_a0p75_b0p80_sm0p030_sl0p0170_sh0p55	18087.25	1.0261	776
14	r8r_r7t2_r5a_km03_h1_sm0_0386_sl0_0192_s_003_a0p75_b0p80_sm0p030_sl0p0170_sh0p45	18087.25	1.0261	776
15	r7t1_r4c_074_km03_tight_h3_sm0p0388_sl0p0_ctl	14383.39	1.1058	711
16	r7t1_opt1_016_neutral_atr_compress_r3_hyb_ctl	9216.12	0.8550	703
