year	strategy	pnl	dd	pnl_over_dd	trades
2016	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-22184.68	24001.17	-0.9243	342
2017	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-6609.97	9189.78	-0.7193	281
2018	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-6044.71	7161.30	-0.8441	203
2019	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-3011.78	6603.72	-0.4561	234
2020	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-15494.22	18884.19	-0.8205	559
2021	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-14445.53	17999.78	-0.8025	354
2022	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-13466.79	14861.75	-0.9061	465
2023	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-3724.69	10149.56	-0.3670	406
2024	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	-834.87	13350.90	-0.0625	537
2025	r4c_062_km02_tight_h7_sm0p0388_sl0p0192	14067.14	14259.69	0.9865	701
2016	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-22209.49	23965.89	-0.9267	343
2017	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-6638.19	9217.60	-0.7202	282
2018	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-6044.71	7161.30	-0.8441	203
2019	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-3011.78	6603.72	-0.4561	234
2020	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-15749.93	19111.14	-0.8241	560
2021	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-14510.37	18060.77	-0.8034	356
2022	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-14044.64	15008.97	-0.9357	470
2023	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-3793.65	10167.01	-0.3731	409
2024	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	-1391.60	13743.95	-0.1013	536
2025	r4c_074_km03_tight_h3_sm0p0388_sl0p0192	14383.39	13007.06	1.1058	711
2016	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-22210.76	23966.14	-0.9268	343
2017	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-6637.49	9216.65	-0.7202	282
2018	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-6044.40	7160.82	-0.8441	203
2019	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-3016.09	6605.83	-0.4566	234
2020	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-15561.50	18920.51	-0.8225	558
2021	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-14588.26	18098.16	-0.8061	356
2022	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-14047.63	15012.09	-0.9358	470
2023	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-3937.21	10128.72	-0.3887	408
2024	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	-1026.01	13544.24	-0.0758	532
2025	s3g_gateoff_flipentry_h5_sl0p0192_sm0p039_ptnone	13267.30	14137.64	0.9384	709
